0,test
1,AAA (Abdominal aortic aneurysm)
2,Acid reflux in babies (Reflux in babies)
3,Acne
4,Actinic keratoses (Solar keratoses)
5,Acute respiratory distress syndrome (ARDS)
6,Addison's disease
7,Adenomyosis
8,Alcohol misuse
9,Alcohol poisoning
10,Alcohol-related liver disease
11,Allergic rhinitis
12,Allergies
13,Altitude sickness
14,Amblyopia (Lazy eye)
15,Amyloidosis
16,Anaemia (Iron deficiency)
17,Anaemia (vitamin B12 or folate deficiency) (Vitamin B12 or folate deficiency anaemia)
18,Anal fissure
19,Anaphylaxis
20,Aneurysm (abdominal aortic)
21,Angina
22,Angioedema
23,Arthritis
24,Asbestosis
25,Asthma
26,Atherosclerosis
27,Auditory processing disorder (APD)
28,Bacterial vaginosis
29,Balanitis
30,Bedbugs
31,Bell's palsy
32,Benign prostate enlargement
33,Bladder pain syndrome (interstitial cystitis)
34,Bleeding from the bottom (rectal bleeding)
35,Blepharitis
36,Bloating
37,Blood in semen
38,Blood poisoning (Sepsis)
39,Low blood pressure (Hypotension)
40,Blue or grey skin or lips (Cyanosis)
41,Body dysmorphic disorder (BDD)
42,Bone cyst
43,Bowel polyps
44,Brain tumours
45,Breast abscess
46,Breath-holding in babies and children
47,Broken arm or wrist
48,Broken collarbone
49,Broken finger or thumb
50,Broken hip
51,Broken nose
52,Broken or bruised ribs
53,Broken toe
54,Bronchiolitis
55,Bronchitis
56,Brucellosis
57,Bruxism (Teeth_grinding)
58,Bulging_eyes (Exophthalmos)
59,Bursitis
60,Buttock_pain (Sciatica)
61,Carbon_monoxide_poisoning
62,Carpal_tunnel_syndrome
63,Catarrh
64,Cervical_spondylosis
65,Charles_Bonnet_syndrome
66,Chest_infection
67,Chickenpox
68,Chlamydia
69,Chronic_fatigue_syndrome (ME/CFS)
70,Chronic_traumatic_encephalopathy
71,Cirrhosis
72,Clostridium_difficile (C. diff)_infection
73,Cluster_headaches
74,Coccyx_pain (Tailbone_coccyx_pain)
75,Coeliac_disease
76,Colic
77,Common_cold
78,Compartment_syndrome
79,Confusion (Sudden_delirium)
80,Conjunctivitis
81,Constipation
82,Coronary_heart_disease
83,Costochondritis
84,Cradle_cap
85,Craniosynostosis
86,Crohns_disease
87,Croup
88,Cushings_syndrome
89,Cyanosis (Blue_or_grey_skin_or_lips)
90,Cyclospora
91,Cystitis
92,Cytomegalovirus (CMV)
93,Deafness (Hearing_loss)
94,Dehydration
95,Delirium (Sudden_confusion_delirium)
96,Dementia_vascular (Vascular_dementia)
97,Dengue
98,Dental_abscess
99,Detached_retina (Retinal_detachment)
100,Diabetic_ketoacidosis
101,Dissociative_disorders
102,Diverticular_disease_and_diverticulitis
103,Dizziness
104,Double_vision
105,Dry_eyes
106,DVT_deep_vein_thrombosis
107,Dysarthria (Difficulty_speaking)
108,Dysphagia (Swallowing_problems)
109,Ear_infections
110,Earache
111,Eardrum (burst)
112,Earwax_build-up
113,Eating_disorders
114,Ebola_virus_disease
115,Ectopic_beats
116,Ehlers-Danlos_syndromes
117,Encephalitis
118,Endometriosis
119,Epididymitis
120,Epilepsy
121,Erectile_dysfunction
122,Erythema_multiforme
123,Erythromelalgia
124,Excessive_daytime_sleepiness (Hypersomnia)
125,Eye_flashes
126,Eye_floaters
127,Eye_infection_herpes (Herpes_simplex_eye_infections)
128,Eyelid_problems
129,Face_blindness
130,Fainting
131,Febrile_seizures
132,Fever_in_adults
133,Fever_in_children
134,Fibromyalgia
135,Fits_children_with_fever
136,Flat_feet
137,Floaters_and_flashes_in_the_eyes
138,Flu
139,Food_allergy
140,Food_intolerance
141,Foreskin_problems
142,Gallstones
143,Gastritis
144,Gastro-oesophageal_reflux_disease_GORD
145,Gastroparesis
146,Genital_herpes
147,Genital_warts
148,German_measles_rubella_german_measles
149,Giant_cell_arteritis_temporal_arteritis
150,Giardiasis
151,Glaucoma
152,Glue_ear
153,Goitre
154,Gout
155,Growing_pains
156,Gum_disease
157,Haemophilus_influenzae_type_b_Hib
158,Haemorrhoids_piles_haemorrhoids
159,Hallucinations_and_hearing_voices
160,Hand_foot_and_mouth_disease
161,Hay_fever
162,Head_lice_and_nits
163,Headaches_tension-type_tension_headaches
164,Hearing_loss
165,Hearing_voices_hallucinations_and_hearing_voices
166,Heart_attack
167,Heart_disease_coronary_coronary_heart_disease
168,Heart_failure
169,Heart_palpitations
170,Heartburn_and_acid_reflux
171,Heat_exhaustion_and_heatstroke
172,Heat_rash_prickly_heat
173,Heavy_periods
174,Hepatitis_A
175,Hepatitis_B
