0,test
1,a_bad_taste_in_your_mouth
2,a_build-up_of_fluid_around_your_testicle_a_hydrocele_that_feels_like_a_lump_or_swelling
3,a_change_in_your_voice_making_it_nasal_strained_or_monotone
4,a_cough_or_hiccups_that_keep_coming_back
5,a_cough_that_does_not_go_away
6,a_dark_curtain_or_shadow_in_your_vision
7,a_dry_cough
8,a_dry_mouth_lips_and_tongue
9,a_feeling_that_food_is_stuck_in_your_throat_or_chest
10,a_gurgly_wet-sounding_voice_when_eating_or_drinking
11,a_headache
12,a_high_temperature
13,a_hoarse_voice
14,a_hoarse_voice_or_voice_changes
15,a_lump_that_goes_away_by_itself_after_several_days_or_weeks
16,a_raised_rash_of_spots_on_the_hands_and_feet_and_sometimes_the_thighs_and_bottom
17,a_rash_that_looks_like_small_bruises_or_bleeding_under_the_skin_and_does_not_disappear_when_you_press_a_glass_against_it
18,a_red_eye
19,a_ringing_or_buzzing_sound_in_your_ear_tinnitus
20,a_runny_or_blocked_nose
21,a_skin_rash
22,a_sore_throat
23,a_sudden_high_temperature
24,a_swollen_eyelid
25,a_swollen_face_or_jaw
26,a_thermometer_says_your_temperature_is_38C_or_above
27,a_wheezing_noise_when_you_breathe
28,ache_or_pain_in_fingers_hand_or_arm
29,aches_and_pains
30,aching_fingers_wrists_or_knees
31,aching_muscles
32,acting_confused
33,affected_leg_at_odd_angle
34,affected_leg_shorter_than_unaffected_leg
35,affects_back
36,affects_chest
37,affects_face
38,an_aching_body
39,an_aching_or_throbbing_in_both_legs
40,an_increased_range_of_joint_movement_joint_hypermobility
41,an_itchy_anus
42,an_itchy_prickly_feeling
43,an_overwhelming_feeling_of_anxiety_similar_to_a_panic_attack
44,an_unpleasant_sour_taste_in_your_mouth_caused_by_stomach_acid
45,anxiety
46,anywhere_on_body_including_inside_mouth_and_around_genitals
47,appear_on_their_own_or_in_a_group_groups_of_warts_can_look_like_a_cauliflower
48,are_irritable_or_restless
49,are_off_their_food
50,are_rarely_a_sign_of_anything_serious
51,around_the_anus
52,around_the_vagina_and_on_the_penis
53,asking_people_to_repeat_themselves
54,avoid_daily_activities_like_exercise_or_take_time_off_work_because_of_your_periods
55,avoid_mirrors_altogether
56,avoiding_socialising_when_you_think_food_will_be_involved
57,back_and_joint_pain
58,back_pain
59,bad_breath
60,bad_breath_and_a_bad_taste_in_the_mouth
61,barking_cough
62,be_irritable_or_restless
63,be_off_their_food
64,be_short_of_breath
65,be_sick_or_pee_wet_themselves
