0,symptom_name
1,able to see things further clearly
2,abnormal breathing
3,abnormal jerking movements
4,abnormal period
5,abnormally large feet
6,abnormally large hands
7,about 14 days before period
8,ache
9,aching muscles
10,aching pain in top right of stomach
11,acid reflux
12,acne
13,acne spots
14,acting impulsively
15,acting inappropriately
16,affected leg at odd angle
17,affected leg shorter than unaffected leg
18,affects one side of stomach
19,aggression
20,agitatation
21,agitation
22,almost fainting
23,always needing to clear throat
24,alzheimers disease
25,anaemia
26,angioedema
27,animal sounds
28,animals hallucinations
29,anosmia
30,anxiety
31,appearing selfish
32,appearing unsympathetic
33,ascites
34,asking people to repeat themselves
35,ataxia
36,ataxia on one side of body
37,attention deficit hyperactivity disorder (ADHD)
38,avoiding exercising
39,avoiding mirrors
40,back acne
41,bad balance
42,bad breath
43,bad circulation in feet
44,bad circulation in hands
45,bad co-ordination
46,bad sleep quality
47,bad smell
48,bad taste in mouth
49,balance problems
50,bald patches on scalp
51,barking cough
52,being withdrawn
53,between 1cm and 2cm patches
54,bites on arms
55,bites on face
56,bites on neck
57,black and white hallucinations
58,black blotches
59,black spots on tooth
60,blackheads
61,blackouts
62,bladder problems
63,bleeding
64,bleeding after sex
65,bleeding around foreskin
66,bleeding between period
67,bleeding easily
68,bleeding from  eye
69,bleeding from bottom
70,bleeding from ears
71,bleeding from eyes
72,bleeding from mouth
73,bleeding from nose
74,bleeding from vulva
75,bleeding from wounds
76,bleeding gums
77,bleeding gums when brushing teeth
78,bleeding gums when eating hard
79,bleeding gums when flossing
80,bleeding in gums
81,bleeding problems
82,bleeding through to clothes
83,bleeding when pooing
84,blindness
85,blinking
86,blinking a lot
87,blisters
88,blisters around eye
89,blisters on eyelid
90,blisters on finger
91,blisters on hand
92,blisters on soles of feet
93,bloating
94,blocked bowel
95,blocked ear
96,blocked nose
97,blood clot in subclavian artery
98,blood in mucus
99,blood in pee
100,blood in pee during period
101,blood in poo
102,blood in poo during period
103,blood in vomit
104,blood leaking from ear
105,blood on toilet paper
106,blood spots on bedding
107,bloody diarrhea
108,bloody mucus from nose
109,blotchy rash
110,blotchy skin
111,blue ears
112,blue gums
113,blue leg
114,blue lip
115,blue lips
116,blue nails
117,blue patches
118,blue skin
119,blue spots
120,blue tongue
121,blurred vision
122,bowel incontinence
123,bowel incontinence affecting daily life
124,bowel incontinence every day
125,bowel incontinence from time to time
126,bowel problems
127,brain fog
128,breast shape change
129,breast size change
130,breathing very fast
131,breathlessness
132,breathlessness after activity
133,breathlessness at rest
134,bring up small amounts of food
135,bring up thick mucus
136,bringing back up undigested food
137,bringing up bitter tasting fluids
138,bringing up food from nose
139,brittle toenails
140,broken teeth
141,brown blood
142,brown discharge
143,brown patches
144,brown spots on bedding
145,brown spots on furniture
146,bruised arm
147,bruised collarbone
148,bruised finger
149,bruised nose
150,bruised thumb
151,bruised toe
152,bruised wrist
153,bruising
154,bruising around eyes
155,bruising around hip
156,bruising easily
157,bruising easy
158,build-up of fat on back of neck
159,build-up of fat on shoulders
160,bulge in stomach
161,bulging eye
162,bulging of muscle
163,bulging of one eye
164,bumps in armpit
165,burning
166,burning around genitals
167,burning in chest
168,burning in eye
169,burning in feet
170,burning in hand
171,burning in mouth when drinking
172,burning in mouth when eating
173,burning in vagina
174,burning pain
175,burning pain around eye
176,burning pain in arms
177,burning pain in legs
178,burning pain on one side of head
179,burning sensation in middle of chest
180,burning when peeing
181,burping
182,buzzing
